query_refmet_name,match_basis,review_status,decision_scope,harmonization_eligibility,study_id,analysis_id,study_title,species,sample_source,analysis_type,polarity,chromatography,disease,refmet_name,refmet_id,inchi_key,pubchem_cid,super_class,main_class,sub_class,study_link,source_system,provenance_url
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST002498,AN004656,Plasma Metabolomics Profiling of 580 Patients from the Weill Cornell Medicine Early Detection Research Network Prostate Cancer Cohort,Human,Blood,LCMS,NEGATIVE,Reversed phase,Cancer,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST002498,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST002787,AN004535,Metabolomic analysis of gut metabolites in colorectal cancer patients: correlation with disease development and outcome,Human,Feces,LCMS,NEGATIVE,Reversed phase,Cancer,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST002787,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003213,AN005269,The central role of creatine and polyamines in fetal growth restriction,Human,Placenta,LCMS,UNSPECIFIED,Reversed phase,Placenta disease,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003213,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003587,AN005891,Comparison of Machine Learning Models for Metabolomic-Based Clinical Prediction of Preterm Birth,Human,Blood,LCMS,POSITIVE,Reversed phase,,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003587,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003662,AN006016,Metabolome trajectory of exercise physiology- a comprehensive study of healthy male and female athletes,Human,Blood,LCMS,UNSPECIFIED,Reversed phase,,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003662,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004029,AN006659,ACC1 (Acetyl-CoA carboxylase 1) regulates plasma membrane cholesterol levels by controlling lipid droplet catabolism,Human,Cultured cells,LCMS,NEGATIVE,Reversed phase,Metabolic syndrome,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004029,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004082,AN006760,The secreted metabolite sensor CtBP2 links metabolism to healthy lifespan,Human,Fibroblast cells,LCMS,NEGATIVE,CE,,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004082,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004125,AN006838,"Metabolite profiling in the glycerol kinase (GK), GPD1 and GAPDH genes into the reconstituted ChREBPα-MLX HEK293T system alongside green fluorescent protein (GFP).",Human,Cultured cells,LCMS,UNSPECIFIED,HILIC,Metabolic disease,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004125,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004138,AN006861,Variation in microbiome and metabolites are associated with advantageous effects of cholestyramine on primary biliary cholangitis with pruritus,Human,Feces,LCMS,NEGATIVE,Reversed phase,Autoimmune disease,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004138,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004174,AN006929,"Metabolomic analysis of supernatants from ovarian cancer ascites fluid with activated T cells, unactivated T cells, and T cells stimulated in ovarian cancer ascites fluid",Human,Ascites,LCMS,UNSPECIFIED,HILIC,Cancer,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004174,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004189,AN007234,Discovery and Validation of Metabolic Biomarkers for 'Liver Qi Stagnation' and 'Liver-Gallbladder Damp-Heat' Syndromes in Cholelithiasis: Urine untargeted,Human,Urine,LCMS,NEGATIVE,Reversed phase,Gallstones,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004189,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004297,AN007146,ROSE longitudinal metabolomics analyses of ARDS inflammatory phenotypes,Human,Blood,Other,NEGATIVE,Reversed phase,Acute respiratory distress syndrome,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004297,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004318,AN007194,Metabolomic profiling of serum and stool reveals lipid and amino acid pathways associated with ALS progression rate and sex-specific differences,Human,Blood,LCMS,NEGATIVE,Reversed phase,ALS,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004318,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004506,AN007554,L-Asparaginase reversibly suppresses CD40-mediated B-Cell Activation and Antigen-Presenting Function by Metabolic Restriction,Human,B-cells,LCMS,NEGATIVE,HILIC,Cancer,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004506,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004630,AN007808,Altered Gut Microbiota and Metabolites in Children with Non-organic Anorexia: A Multi-omics Integration Study,Human,Feces,LCMS,POSITIVE,Reversed phase,Anorexia,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004630,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004767,AN008061,Human multi-omics maps progression from pancreatitis to pancreatic ductal adenocarcinoma and identifies a diagnostic panel,Human,Blood,LCMS,NEGATIVE,HILIC,Cancer,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004767,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004826,AN008167,Integrated Metabolomic Analysis of Plasma and Fecal Samples from Healthy Volunteers during Durian Intervention,Human,Blood,LCMS,NEGATIVE,Reversed phase,,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004826,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004826,AN008170,Integrated Metabolomic Analysis of Plasma and Fecal Samples from Healthy Volunteers during Durian Intervention,Human,Blood,LCMS,POSITIVE,HILIC,,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004826,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004944,AN008380,Serum metabolomic profiling of NK/T-cell lymphoma,Human,Blood,LCMS,POSITIVE,Reversed phase,Cancer,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004944,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004944,AN008381,Serum metabolomic profiling of NK/T-cell lymphoma,Human,Blood,LCMS,NEGATIVE,Reversed phase,Cancer,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004944,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST005010,AN008509,Gut microbiota and metabolites are linked to disease progression in multiple sclerosis - Feces,Human,Feces,Other,NEGATIVE,Reversed phase,Multiple sclerosis,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST005010,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST005011,AN008513,Gut microbiota and metabolites are linked to disease progression in multiple sclerosis - Serum,Human,Blood,Other,NEGATIVE,Reversed phase,Multiple sclerosis,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST005011,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004696,AN007934,Whey protein isolate enhances the growth and probiotic features of Lacticaseibacillus rhamnosus GG,Lacticaseibacillus rhamnosus,Culture media,LCMS,NEGATIVE,Reversed phase,,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004696,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST001935,AN003146,Metabolomic profiling of spontaneous macaque model for diabetes mellitus,Macaque monkey,Blood,LCMS,NEGATIVE,Reversed phase,Diabetes,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST001935,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003028,AN004964,Chronic stress dampens Lactobacillus johnsonii-mediated tumor suppression to enhance colorectal cancer progression,Mouse,Colon,LCMS,NEGATIVE,Reversed phase,Cancer,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003028,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003063,AN005018,Uncoupling Metabolic Health from Thermogenesis via BCAA Nitrogen Flux in Brown Fat - Serum metabolomics from control and MBC UCP1-KO,Mouse,Blood,LCMS,POSITIVE,HILIC,Diabetes,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003063,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003277,AN005367,LC-MS/MS spatial analysis of mouse GI,Mouse,Blood,LCMS,NEGATIVE,Reversed phase,,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003277,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003378,AN005531,Effects of Aldehydes on lipid metabolism in mice,Mouse,Liver,LCMS,NEGATIVE,Reversed phase,Liver disease,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003378,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003818,AN006277,Irisin Attenuates Postmenopausal Osteoporosis by Upregulating Phosphatidylcholine Metabolism via the Wnt/β-catenin Pathway,Mouse,Blood,LCMS,POSITIVE,Reversed phase,Osteoporosis,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003818,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003818,AN006278,Irisin Attenuates Postmenopausal Osteoporosis by Upregulating Phosphatidylcholine Metabolism via the Wnt/β-catenin Pathway,Mouse,Blood,LCMS,NEGATIVE,Reversed phase,Osteoporosis,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003818,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004190,AN006961,Comparative Analysis of the Metabolic Profiles of Alix−/− and Ozz−/− Soleus Skeletal Muscle,Mouse,Muscle,LCMS,NEGATIVE,HILIC,,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004190,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004317,AN007190,Human gut microbiota from fast-progressing ALS patients accelerates disease in mice and reprograms cecal metabolite profiles,Mouse,Cecum,LCMS,NEGATIVE,Reversed phase,ALS,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004317,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004327,AN007211,Microbiota Regulation of Hepatic Nanoparticle Sequestration Enables Enhanced Tumour Delivery,Mouse,Liver,LCMS,UNSPECIFIED,HILIC,Cancer,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004327,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004357,AN007276,Metabolic Impact of Cardiomyocyte-Specific Nuclear Receptor Subfamily 4 Group A Member 2 (NR4A2) Induction on the Mouse Heart,Mouse,Heart,LCMS,NEGATIVE,Reversed phase,,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004357,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
