"query_original","query_type","matched_term","match_basis","match_confidence","review_status","source_system","study_id","study_title","accession_or_contrast","study_link","sample_matrix","intervention_timing","platform","sex_or_subgroup","metabolite","refmet_name","source_metabolite_raw","class","superclass","subclass","log2fc","p_value","fdr","direction","significance_call","effect_interpretation","provenance_file","missing_evidence","is_exact","is_significant","plot_label","plot_source","palette_source"
"Leucine","metabolite","Leucine/Isoleucine [metab-u-rppos]","substring_name_match","requires_human_review","requires_human_review","MoTrPAC DataHub","human-precovid-sed-adu","MoTrPAC human acute exercise (precovid sedentary adults)","ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise","https://motrpac-data.org/data-download","plasma","acute, endurance bout, late post (~3.5-4 hr) vs pre","metab-u-rppos","","Leucine/Isoleucine [metab-u-rppos]","Leucine/Isoleucine","Leucine/Isoleucine [metab-u-rppos]","Amino acids and peptides","Organic acids","Amino acids",-0.0655074126281576,0.0574296212544367,0.109237475002101,"down_in_numerator","not_significant","0.07 log2-units lower in HIGHER post-exercise (endurance, late post) (p=5.74e-02, FDR=1.09e-01)","data/live/volcano_motrpac_human_plasma_endur_post.csv","",FALSE,FALSE,"Leucine/Isoleucine [u-rppos]","MoTrPAC human acute endurance","neutral status colors; no inferred MW-to-MoTrPAC group/sex palette"
"Leucine","metabolite","Ketoleucine [metab-u-rpneg]","substring_name_match","requires_human_review","requires_human_review","MoTrPAC DataHub","human-precovid-sed-adu","MoTrPAC human acute exercise (precovid sedentary adults)","ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise","https://motrpac-data.org/data-download","plasma","acute, endurance bout, late post (~3.5-4 hr) vs pre","metab-u-rpneg","","Ketoleucine [metab-u-rpneg]","Ketoleucine","Ketoleucine [metab-u-rpneg]","Keto acids","Organic acids","Short-chain keto acids",-0.025557310542208,0.587025294189706,0.650832391384239,"down_in_numerator","not_significant","0.03 log2-units lower in HIGHER post-exercise (endurance, late post) (p=5.87e-01, FDR=6.51e-01)","data/live/volcano_motrpac_human_plasma_endur_post.csv","",FALSE,FALSE,"Ketoleucine [u-rpneg]","MoTrPAC human acute endurance","neutral status colors; no inferred MW-to-MoTrPAC group/sex palette"
"Leucine","metabolite","Isoleucine [metab-t-amines]","substring_name_match","requires_human_review","requires_human_review","MoTrPAC DataHub","human-precovid-sed-adu","MoTrPAC human acute exercise (precovid sedentary adults)","ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise","https://motrpac-data.org/data-download","plasma","acute, endurance bout, late post (~3.5-4 hr) vs pre","metab-t-amines","","Isoleucine [metab-t-amines]","Isoleucine","Isoleucine [metab-t-amines]","Amino acids and peptides","Organic acids","Amino acids",0.0498275465693991,0.0632428089499311,0.0835708546838376,"up_in_numerator","not_significant","0.05 log2-units higher in HIGHER post-exercise (endurance, late post) (p=6.32e-02, FDR=8.36e-02)","data/live/volcano_motrpac_human_plasma_endur_post.csv","",FALSE,FALSE,"Isoleucine [t-amines]","MoTrPAC human acute endurance","neutral status colors; no inferred MW-to-MoTrPAC group/sex palette"
"Leucine","metabolite","Leucine/Isoleucine [metab-u-ionpneg]","substring_name_match","requires_human_review","requires_human_review","MoTrPAC DataHub","human-precovid-sed-adu","MoTrPAC human acute exercise (precovid sedentary adults)","ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise","https://motrpac-data.org/data-download","plasma","acute, endurance bout, late post (~3.5-4 hr) vs pre","metab-u-ionpneg","","Leucine/Isoleucine [metab-u-ionpneg]","Leucine/Isoleucine","Leucine/Isoleucine [metab-u-ionpneg]","Amino acids and peptides","Organic acids","Amino acids",0.0939091830135226,0.0377325767157724,0.065762490847489,"up_in_numerator","not_significant","0.09 log2-units higher in HIGHER post-exercise (endurance, late post) (p=3.77e-02, FDR=6.58e-02)","data/live/volcano_motrpac_human_plasma_endur_post.csv","",FALSE,FALSE,"Leucine/Isoleucine [u-ionpneg]","MoTrPAC human acute endurance","neutral status colors; no inferred MW-to-MoTrPAC group/sex palette"
"Leucine","metabolite","Isoleucine [metab-u-hilicpos]","substring_name_match","requires_human_review","requires_human_review","MoTrPAC DataHub","human-precovid-sed-adu","MoTrPAC human acute exercise (precovid sedentary adults)","ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise","https://motrpac-data.org/data-download","plasma","acute, endurance bout, late post (~3.5-4 hr) vs pre","metab-u-hilicpos","","Isoleucine [metab-u-hilicpos]","Isoleucine","Isoleucine [metab-u-hilicpos]","Amino acids and peptides","Organic acids","Amino acids",0.121309087458012,9.54269977139134e-10,6.30178286789994e-09,"up_in_numerator","significant_FDR<0.05","0.12 log2-units higher in HIGHER post-exercise (endurance, late post) (p=9.54e-10, FDR=6.30e-09)","data/live/volcano_motrpac_human_plasma_endur_post.csv","",FALSE,TRUE,"Isoleucine [u-hilicpos]","MoTrPAC human acute endurance","neutral status colors; no inferred MW-to-MoTrPAC group/sex palette"
"Leucine","metabolite","beta-Leucine [metab-u-hilicpos]","substring_name_match","requires_human_review","requires_human_review","MoTrPAC DataHub","human-precovid-sed-adu","MoTrPAC human acute exercise (precovid sedentary adults)","ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise","https://motrpac-data.org/data-download","plasma","acute, endurance bout, late post (~3.5-4 hr) vs pre","metab-u-hilicpos","","beta-Leucine [metab-u-hilicpos]","beta-Leucine","beta-Leucine [metab-u-hilicpos]","Amino acids and peptides","Organic acids","Amino acids",0.123883247256838,7.29999079618263e-08,3.70289388212163e-07,"up_in_numerator","significant_FDR<0.05","0.12 log2-units higher in HIGHER post-exercise (endurance, late post) (p=7.30e-08, FDR=3.70e-07)","data/live/volcano_motrpac_human_plasma_endur_post.csv","",FALSE,TRUE,"beta-Leucine [u-hilicpos]","MoTrPAC human acute endurance","neutral status colors; no inferred MW-to-MoTrPAC group/sex palette"
"Leucine","metabolite","Isoleucine [metab-u-ionpneg]","substring_name_match","requires_human_review","requires_human_review","MoTrPAC DataHub","human-precovid-sed-adu","MoTrPAC human acute exercise (precovid sedentary adults)","ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise","https://motrpac-data.org/data-download","plasma","acute, endurance bout, late post (~3.5-4 hr) vs pre","metab-u-ionpneg","","Isoleucine [metab-u-ionpneg]","Isoleucine","Isoleucine [metab-u-ionpneg]","Amino acids and peptides","Organic acids","Amino acids",0.202302331672218,0.0083964782332184,0.0165221023298815,"up_in_numerator","significant_FDR<0.05","0.20 log2-units higher in HIGHER post-exercise (endurance, late post) (p=8.40e-03, FDR=1.65e-02)","data/live/volcano_motrpac_human_plasma_endur_post.csv","",FALSE,TRUE,"Isoleucine [u-ionpneg]","MoTrPAC human acute endurance","neutral status colors; no inferred MW-to-MoTrPAC group/sex palette"
"Leucine","metabolite","Alloisoleucine [metab-u-hilicpos]","substring_name_match","requires_human_review","requires_human_review","MoTrPAC DataHub","human-precovid-sed-adu","MoTrPAC human acute exercise (precovid sedentary adults)","ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise","https://motrpac-data.org/data-download","plasma","acute, endurance bout, late post (~3.5-4 hr) vs pre","metab-u-hilicpos","","Alloisoleucine [metab-u-hilicpos]","Alloisoleucine","Alloisoleucine [metab-u-hilicpos]","Amino acids and peptides","Organic acids","Amino acids",4.26030212641535,1.59805650690069e-180,5.59319777415242e-178,"up_in_numerator","significant_FDR<0.05","4.26 log2-units higher in HIGHER post-exercise (endurance, late post) (p=1.60e-180, FDR=5.59e-178)","data/live/volcano_motrpac_human_plasma_endur_post.csv","",FALSE,TRUE,"Alloisoleucine [u-hilicpos]","MoTrPAC human acute endurance","neutral status colors; no inferred MW-to-MoTrPAC group/sex palette"
"Leucine","metabolite","Leucine [metab-t-amines]","exact_name_match","accepted_exact","accepted_exact","MoTrPAC DataHub","human-precovid-sed-adu","MoTrPAC human acute exercise (precovid sedentary adults)","ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise","https://motrpac-data.org/data-download","plasma","acute, endurance bout, late post (~3.5-4 hr) vs pre","metab-t-amines","","Leucine [metab-t-amines]","Leucine","Leucine [metab-t-amines]","Amino acids and peptides","Organic acids","Amino acids",0.0601728816747196,0.0104916125918553,0.0155275866359458,"up_in_numerator","significant_FDR<0.05","0.06 log2-units higher in HIGHER post-exercise (endurance, late post) (p=1.05e-02, FDR=1.55e-02)","data/live/volcano_motrpac_human_plasma_endur_post.csv","",TRUE,TRUE,"Leucine [t-amines]","MoTrPAC human acute endurance","neutral status colors; no inferred MW-to-MoTrPAC group/sex palette"
"Leucine","metabolite","Leucine [metab-u-ionpneg]","exact_name_match","accepted_exact","accepted_exact","MoTrPAC DataHub","human-precovid-sed-adu","MoTrPAC human acute exercise (precovid sedentary adults)","ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise","https://motrpac-data.org/data-download","plasma","acute, endurance bout, late post (~3.5-4 hr) vs pre","metab-u-ionpneg","","Leucine [metab-u-ionpneg]","Leucine","Leucine [metab-u-ionpneg]","Amino acids and peptides","Organic acids","Amino acids",0.0618848505998209,0.117653431927632,0.170877603513942,"up_in_numerator","not_significant","0.06 log2-units higher in HIGHER post-exercise (endurance, late post) (p=1.18e-01, FDR=1.71e-01)","data/live/volcano_motrpac_human_plasma_endur_post.csv","",TRUE,FALSE,"Leucine [u-ionpneg]","MoTrPAC human acute endurance","neutral status colors; no inferred MW-to-MoTrPAC group/sex palette"
"Leucine","metabolite","Leucine [metab-u-hilicpos]","exact_name_match","accepted_exact","accepted_exact","MoTrPAC DataHub","human-precovid-sed-adu","MoTrPAC human acute exercise (precovid sedentary adults)","ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise","https://motrpac-data.org/data-download","plasma","acute, endurance bout, late post (~3.5-4 hr) vs pre","metab-u-hilicpos","","Leucine [metab-u-hilicpos]","Leucine","Leucine [metab-u-hilicpos]","Amino acids and peptides","Organic acids","Amino acids",0.146765252992406,1.84655232328086e-16,2.93769687794683e-15,"up_in_numerator","significant_FDR<0.05","0.15 log2-units higher in HIGHER post-exercise (endurance, late post) (p=1.85e-16, FDR=2.94e-15)","data/live/volcano_motrpac_human_plasma_endur_post.csv","",TRUE,TRUE,"Leucine [u-hilicpos]","MoTrPAC human acute endurance","neutral status colors; no inferred MW-to-MoTrPAC group/sex palette"
