query_original,query_type,matched_term,match_basis,match_confidence,review_status,decision_scope,harmonization_eligibility,identity_evidence_level,source_system,study_id,study_title,accession_or_contrast,study_link,sample_matrix,species,intervention_timing,platform,assay_panel,sex_or_subgroup,analysis_stratum,analysis_stratum_fields,metabolite,refmet_name,refmet_id,source_refmet_id,refmet_annotation_match_basis,identity_stable_identifier_supported,refmet_annotation_source,refmet_annotation_release,refmet_annotation_provenance,source_metabolite_raw,class,superclass,subclass,log2fc,p_value,fdr,direction,significance_call,effect_interpretation,provenance_file,missing_evidence
kynurenine,class,L-Kynurenine,inferred_name_pattern,inferred_name_pattern,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,Metabolomics Workbench,ST004303,Exercise intensity modulates the human plasma secretome (Rockefeller),"ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled",https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004303,plasma,Homo sapiens,"acute, post (Time 4P) vs pre (Time 1P)",LC-MS HILIC (MW analysis AN007160),AN007160,all_or_not_reported,"source_system=Metabolomics Workbench | study_id=ST004303 | species=Homo sapiens | sample_matrix=plasma | assay_panel=AN007160 | accession_or_contrast=ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled | sex_or_subgroup=all_or_not_reported",source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,L-Kynurenine,Kynurenine,RM0132226,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,L-Kynurenine,Amino acids and peptides,Organic acids,Amino acids,-0.3032168084743963,7.372809129231747e-07,8.526814036415847e-06,down_in_numerator,significant_FDR<0.05,"0.30 log2-units lower in HIGHER post-exercise (late, ~late-post) (p=7.37e-07, FDR=8.53e-06)",data/live/volcano_human_ST004303.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
kynurenine,class,Tryptophan [metab-t-amines],inferred_name_pattern,inferred_name_pattern,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,MoTrPAC DataHub,human-precovid-sed-adu,MoTrPAC human acute exercise (precovid sedentary adults),ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,https://motrpac-data.org/data-download,plasma,Homo sapiens,"acute, endurance bout, late post (~3.5-4 hr) vs pre",metab-t-amines,metab-t-amines,all_or_not_reported,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-t-amines | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,Tryptophan [metab-t-amines],Tryptophan,RM0136024,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,Tryptophan [metab-t-amines],Amino acids and peptides,Organic acids,Amino acids,-0.224783750252922,3.70154202652774e-16,3.4239263745381506e-15,down_in_numerator,significant_FDR<0.05,"0.22 log2-units lower in HIGHER post-exercise (endurance, late post) (p=3.70e-16, FDR=3.42e-15)",data/live/volcano_motrpac_human_plasma_endur_post.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
kynurenine,class,Tryptophan [metab-u-ionpneg],inferred_name_pattern,inferred_name_pattern,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,MoTrPAC DataHub,human-precovid-sed-adu,MoTrPAC human acute exercise (precovid sedentary adults),ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,https://motrpac-data.org/data-download,plasma,Homo sapiens,"acute, endurance bout, late post (~3.5-4 hr) vs pre",metab-u-ionpneg,metab-u-ionpneg,all_or_not_reported,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-ionpneg | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,Tryptophan [metab-u-ionpneg],Tryptophan,RM0136024,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,Tryptophan [metab-u-ionpneg],Amino acids and peptides,Organic acids,Amino acids,-0.391157261159655,1.1842559159730301e-15,7.2239610874355e-14,down_in_numerator,significant_FDR<0.05,"0.39 log2-units lower in HIGHER post-exercise (endurance, late post) (p=1.18e-15, FDR=7.22e-14)",data/live/volcano_motrpac_human_plasma_endur_post.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
kynurenine,class,Tryptophan [metab-u-rppos],inferred_name_pattern,inferred_name_pattern,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,MoTrPAC DataHub,human-precovid-sed-adu,MoTrPAC human acute exercise (precovid sedentary adults),ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,https://motrpac-data.org/data-download,plasma,Homo sapiens,"acute, endurance bout, late post (~3.5-4 hr) vs pre",metab-u-rppos,metab-u-rppos,all_or_not_reported,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-rppos | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,Tryptophan [metab-u-rppos],Tryptophan,RM0136024,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,Tryptophan [metab-u-rppos],Amino acids and peptides,Organic acids,Amino acids,-0.258720174378364,1.62267713760602e-15,6.101266037398642e-14,down_in_numerator,significant_FDR<0.05,"0.26 log2-units lower in HIGHER post-exercise (endurance, late post) (p=1.62e-15, FDR=6.10e-14)",data/live/volcano_motrpac_human_plasma_endur_post.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
kynurenine,class,Tryptophan [metab-u-rpneg],inferred_name_pattern,inferred_name_pattern,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,MoTrPAC DataHub,human-precovid-sed-adu,MoTrPAC human acute exercise (precovid sedentary adults),ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,https://motrpac-data.org/data-download,plasma,Homo sapiens,"acute, endurance bout, late post (~3.5-4 hr) vs pre",metab-u-rpneg,metab-u-rpneg,all_or_not_reported,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-rpneg | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,Tryptophan [metab-u-rpneg],Tryptophan,RM0136024,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,Tryptophan [metab-u-rpneg],Amino acids and peptides,Organic acids,Amino acids,-0.378930968905415,6.897534895724801e-15,8.10872541238024e-14,down_in_numerator,significant_FDR<0.05,"0.38 log2-units lower in HIGHER post-exercise (endurance, late post) (p=6.90e-15, FDR=8.11e-14)",data/live/volcano_motrpac_human_plasma_endur_post.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
kynurenine,class,"isoquinoline-1,5-diol [metab-u-hilicpos]",inferred_name_pattern,inferred_name_pattern,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,MoTrPAC DataHub,human-precovid-sed-adu,MoTrPAC human acute exercise (precovid sedentary adults),ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,https://motrpac-data.org/data-download,plasma,Homo sapiens,"acute, endurance bout, late post (~3.5-4 hr) vs pre",metab-u-hilicpos,metab-u-hilicpos,all_or_not_reported,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-hilicpos | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,"isoquinoline-1,5-diol [metab-u-hilicpos]","isoquinoline-1,5-diol",RM0137102,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,"isoquinoline-1,5-diol [metab-u-hilicpos]",Isoquinolones,Organoheterocyclic compounds,Isoquinolones,-1.30098589393952,3.62547206246712e-13,3.5247645051763696e-12,down_in_numerator,significant_FDR<0.05,"1.30 log2-units lower in HIGHER post-exercise (endurance, late post) (p=3.63e-13, FDR=3.52e-12)",data/live/volcano_motrpac_human_plasma_endur_post.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
kynurenine,class,3-Indolepropionic acid [metab-u-rppos],inferred_name_pattern,inferred_name_pattern,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,MoTrPAC DataHub,human-precovid-sed-adu,MoTrPAC human acute exercise (precovid sedentary adults),ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,https://motrpac-data.org/data-download,plasma,Homo sapiens,"acute, endurance bout, late post (~3.5-4 hr) vs pre",metab-u-rppos,metab-u-rppos,all_or_not_reported,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-rppos | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,3-Indolepropionic acid [metab-u-rppos],3-Indolepropionic acid,RM0136180,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,3-Indolepropionic acid [metab-u-rppos],Tryptophan alkaloids,Alkaloids,Indolecarboxylic acids,-0.535953214745977,1.30009676165495e-10,1.9696575853971e-09,down_in_numerator,significant_FDR<0.05,"0.54 log2-units lower in HIGHER post-exercise (endurance, late post) (p=1.30e-10, FDR=1.97e-09)",data/live/volcano_motrpac_human_plasma_endur_post.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
kynurenine,class,Indolelactic acid [metab-u-rppos],inferred_name_pattern,inferred_name_pattern,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,MoTrPAC DataHub,human-precovid-sed-adu,MoTrPAC human acute exercise (precovid sedentary adults),ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,https://motrpac-data.org/data-download,plasma,Homo sapiens,"acute, endurance bout, late post (~3.5-4 hr) vs pre",metab-u-rppos,metab-u-rppos,all_or_not_reported,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-rppos | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,Indolelactic acid [metab-u-rppos],Indolelactic acid,RM0044363,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,Indolelactic acid [metab-u-rppos],Tryptophan alkaloids,Alkaloids,Indolecarboxylic acids,-0.286784605873287,1.36199726649799e-10,1.9696575853971e-09,down_in_numerator,significant_FDR<0.05,"0.29 log2-units lower in HIGHER post-exercise (endurance, late post) (p=1.36e-10, FDR=1.97e-09)",data/live/volcano_motrpac_human_plasma_endur_post.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
kynurenine,class,Indoleacetic acid [metab-u-rppos],inferred_name_pattern,inferred_name_pattern,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,MoTrPAC DataHub,human-precovid-sed-adu,MoTrPAC human acute exercise (precovid sedentary adults),ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,https://motrpac-data.org/data-download,plasma,Homo sapiens,"acute, endurance bout, late post (~3.5-4 hr) vs pre",metab-u-rppos,metab-u-rppos,all_or_not_reported,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-rppos | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,Indoleacetic acid [metab-u-rppos],Indoleacetic acid,RM0135909,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,Indoleacetic acid [metab-u-rppos],Tryptophan alkaloids,Alkaloids,Indoleacetic acids,-0.516289860915101,1.60801998885336e-09,1.8894234869027e-08,down_in_numerator,significant_FDR<0.05,"0.52 log2-units lower in HIGHER post-exercise (endurance, late post) (p=1.61e-09, FDR=1.89e-08)",data/live/volcano_motrpac_human_plasma_endur_post.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
kynurenine,class,Kynurenine [metab-u-rppos],inferred_name_pattern,inferred_name_pattern,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,MoTrPAC DataHub,human-precovid-sed-adu,MoTrPAC human acute exercise (precovid sedentary adults),ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,https://motrpac-data.org/data-download,plasma,Homo sapiens,"acute, endurance bout, late post (~3.5-4 hr) vs pre",metab-u-rppos,metab-u-rppos,all_or_not_reported,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-rppos | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,Kynurenine [metab-u-rppos],Kynurenine,RM0132226,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,Kynurenine [metab-u-rppos],Amino acids and peptides,Organic acids,Amino acids,-0.207224906188852,7.09552357732566e-07,4.94058678717491e-06,down_in_numerator,significant_FDR<0.05,"0.21 log2-units lower in HIGHER post-exercise (endurance, late post) (p=7.10e-07, FDR=4.94e-06)",data/live/volcano_motrpac_human_plasma_endur_post.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
kynurenine,class,5-Hydroxyindoleacetic acid [metab-u-rpneg],inferred_name_pattern,inferred_name_pattern,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,MoTrPAC DataHub,human-precovid-sed-adu,MoTrPAC human acute exercise (precovid sedentary adults),ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,https://motrpac-data.org/data-download,plasma,Homo sapiens,"acute, endurance bout, late post (~3.5-4 hr) vs pre",metab-u-rpneg,metab-u-rpneg,all_or_not_reported,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-rpneg | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,5-Hydroxyindoleacetic acid [metab-u-rpneg],5-Hydroxyindoleacetic acid,RM0135989,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,5-Hydroxyindoleacetic acid [metab-u-rpneg],Tryptophan alkaloids,Alkaloids,Indoleacetic acids,-0.456118089164978,4.69267303876921e-06,1.59550883318153e-05,down_in_numerator,significant_FDR<0.05,"0.46 log2-units lower in HIGHER post-exercise (endurance, late post) (p=4.69e-06, FDR=1.60e-05)",data/live/volcano_motrpac_human_plasma_endur_post.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
kynurenine,class,Indoleacetic acid [metab-u-hilicpos],inferred_name_pattern,inferred_name_pattern,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,MoTrPAC DataHub,human-precovid-sed-adu,MoTrPAC human acute exercise (precovid sedentary adults),ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,https://motrpac-data.org/data-download,plasma,Homo sapiens,"acute, endurance bout, late post (~3.5-4 hr) vs pre",metab-u-hilicpos,metab-u-hilicpos,all_or_not_reported,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-hilicpos | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,Indoleacetic acid [metab-u-hilicpos],Indoleacetic acid,RM0135909,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,Indoleacetic acid [metab-u-hilicpos],Tryptophan alkaloids,Alkaloids,Indoleacetic acids,-0.426711704022702,0.0002374889352505,0.0006649690187016,down_in_numerator,significant_FDR<0.05,"0.43 log2-units lower in HIGHER post-exercise (endurance, late post) (p=2.37e-04, FDR=6.65e-04)",data/live/volcano_motrpac_human_plasma_endur_post.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
kynurenine,class,5-Hydroxy-tryptophan [metab-u-rppos],inferred_name_pattern,inferred_name_pattern,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,MoTrPAC DataHub,human-precovid-sed-adu,MoTrPAC human acute exercise (precovid sedentary adults),ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,https://motrpac-data.org/data-download,plasma,Homo sapiens,"acute, endurance bout, late post (~3.5-4 hr) vs pre",metab-u-rppos,metab-u-rppos,all_or_not_reported,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-rppos | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,5-Hydroxy-tryptophan [metab-u-rppos],5-Hydroxy-tryptophan,RM0131839,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,5-Hydroxy-tryptophan [metab-u-rppos],Amino acids and peptides,Organic acids,Amino acids,-0.193927509178677,0.0004654212154796,0.0017856977246975,down_in_numerator,significant_FDR<0.05,"0.19 log2-units lower in HIGHER post-exercise (endurance, late post) (p=4.65e-04, FDR=1.79e-03)",data/live/volcano_motrpac_human_plasma_endur_post.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
kynurenine,class,Indole-3-methyl acetate [metab-u-rppos],inferred_name_pattern,inferred_name_pattern,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,MoTrPAC DataHub,human-precovid-sed-adu,MoTrPAC human acute exercise (precovid sedentary adults),ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,https://motrpac-data.org/data-download,plasma,Homo sapiens,"acute, endurance bout, late post (~3.5-4 hr) vs pre",metab-u-rppos,metab-u-rppos,all_or_not_reported,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-rppos | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,Indole-3-methyl acetate [metab-u-rppos],Indole-3-methyl acetate,RM0136624,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,Indole-3-methyl acetate [metab-u-rppos],Tryptophan alkaloids,Alkaloids,Indoleacetic acids,-0.27409749194711,0.0015949217966326,0.0053543803172666,down_in_numerator,significant_FDR<0.05,"0.27 log2-units lower in HIGHER post-exercise (endurance, late post) (p=1.59e-03, FDR=5.35e-03)",data/live/volcano_motrpac_human_plasma_endur_post.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
kynurenine,class,Kynurenic acid [metab-u-rpneg],inferred_name_pattern,inferred_name_pattern,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,MoTrPAC DataHub,human-precovid-sed-adu,MoTrPAC human acute exercise (precovid sedentary adults),ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,https://motrpac-data.org/data-download,plasma,Homo sapiens,"acute, endurance bout, late post (~3.5-4 hr) vs pre",metab-u-rpneg,metab-u-rpneg,all_or_not_reported,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-rpneg | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,Kynurenic acid [metab-u-rpneg],Kynurenic acid,RM0032431,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,Kynurenic acid [metab-u-rpneg],Anthranilic acid alkaloids,Alkaloids,Acridone alkaloids,-0.115000816864663,0.0479242919358986,0.0718864379038479,down_in_numerator,not_significant,"0.12 log2-units lower in HIGHER post-exercise (endurance, late post) (p=4.79e-02, FDR=7.19e-02)",data/live/volcano_motrpac_human_plasma_endur_post.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
kynurenine,class,Indoleacrylic acid [metab-u-rpneg],inferred_name_pattern,inferred_name_pattern,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,MoTrPAC DataHub,human-precovid-sed-adu,MoTrPAC human acute exercise (precovid sedentary adults),ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,https://motrpac-data.org/data-download,plasma,Homo sapiens,"acute, endurance bout, late post (~3.5-4 hr) vs pre",metab-u-rpneg,metab-u-rpneg,all_or_not_reported,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-rpneg | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,Indoleacrylic acid [metab-u-rpneg],Indoleacrylic acid,RM0135983,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,Indoleacrylic acid [metab-u-rpneg],Tryptophan alkaloids,Alkaloids,Simple indole alkaloids,-0.107934964164688,0.119173257440006,0.17120665153353,down_in_numerator,not_significant,"0.11 log2-units lower in HIGHER post-exercise (endurance, late post) (p=1.19e-01, FDR=1.71e-01)",data/live/volcano_motrpac_human_plasma_endur_post.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
kynurenine,class,3-Indolepropionic acid [metab-u-hilicpos],inferred_name_pattern,inferred_name_pattern,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,MoTrPAC DataHub,human-precovid-sed-adu,MoTrPAC human acute exercise (precovid sedentary adults),ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,https://motrpac-data.org/data-download,plasma,Homo sapiens,"acute, endurance bout, late post (~3.5-4 hr) vs pre",metab-u-hilicpos,metab-u-hilicpos,all_or_not_reported,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-hilicpos | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,3-Indolepropionic acid [metab-u-hilicpos],3-Indolepropionic acid,RM0136180,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,3-Indolepropionic acid [metab-u-hilicpos],Tryptophan alkaloids,Alkaloids,Indolecarboxylic acids,-0.276272667421313,0.20945737615209,0.299224823074414,down_in_numerator,not_significant,"0.28 log2-units lower in HIGHER post-exercise (endurance, late post) (p=2.09e-01, FDR=2.99e-01)",data/live/volcano_motrpac_human_plasma_endur_post.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
kynurenine,class,Kynurenic acid [metab-u-hilicpos],inferred_name_pattern,inferred_name_pattern,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,MoTrPAC DataHub,human-precovid-sed-adu,MoTrPAC human acute exercise (precovid sedentary adults),ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,https://motrpac-data.org/data-download,plasma,Homo sapiens,"acute, endurance bout, late post (~3.5-4 hr) vs pre",metab-u-hilicpos,metab-u-hilicpos,all_or_not_reported,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-hilicpos | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,Kynurenic acid [metab-u-hilicpos],Kynurenic acid,RM0032431,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,Kynurenic acid [metab-u-hilicpos],Anthranilic acid alkaloids,Alkaloids,Acridone alkaloids,0.0586764222284355,0.328059353613192,0.434927173350823,up_in_numerator,not_significant,"0.06 log2-units higher in HIGHER post-exercise (endurance, late post) (p=3.28e-01, FDR=4.35e-01)",data/live/volcano_motrpac_human_plasma_endur_post.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
