record_key,escalation,reason,decision_needed,title,record_url
doi:10.2174/0115701786492436260617164313,possible_name_homonym,"the queried name appears alongside both materials-science and biological context terms, so which entity the string denotes is unresolved",confirm the chemical entity from the full text before counting this record as subject evidence,Practical Synthesis of N-Lactoyl-Phenylalanine and Its Isotopically Deuterated Variant Lac-Phe-d5,https://doi.org/10.2174/0115701786492436260617164313
doi:10.23937/2378-3672/1410077,possible_name_homonym,"the queried name appears alongside both materials-science and biological context terms, so which entity the string denotes is unresolved",confirm the chemical entity from the full text before counting this record as subject evidence,Lac-Phe: An Exercise Induced Metabolite with Immunomodulatory Potential in Inflammatory Diseases,https://doi.org/10.23937/2378-3672/1410077
doi:10.3389/fphys.2023.1143966,possible_name_homonym,"the queried name appears alongside both materials-science and biological context terms, so which entity the string denotes is unresolved",confirm the chemical entity from the full text before counting this record as subject evidence,Distinct microRNA and protein profiles of extracellular vesicles secreted from myotubes from morbidly obese donors with type 2 diabetes in response to electrical pulse stimulation,https://europepmc.org/article/MED/37064893
doi:10.1101/2023.11.02.565321,preprint_without_peer_review,preprint with no linked journal publication in the preprint server record,decide whether the claim may be cited as evidence at this tier,Lac-Phe mediates the anti-obesity effect of metformin,https://europepmc.org/article/PPR/PPR753566
doi:10.1101/2024.04.18.589815,preprint_without_peer_review,preprint with no linked journal publication in the preprint server record,decide whether the claim may be cited as evidence at this tier,SLC17 transporters mediate renal excretion of Lac-Phe in mice and humans,https://doi.org/10.1101/2024.04.18.589815
doi:10.1101/2024.12.16.24317793,preprint_without_peer_review,preprint with no linked journal publication in the preprint server record,decide whether the claim may be cited as evidence at this tier,"The blood metabolome of cognitive function and brain health in middle-aged adults – influences of genes, gut microbiome, and exposome",https://europepmc.org/article/PPR/PPR956091
doi:10.1101/2025.10.02.678294,preprint_without_peer_review,preprint with no linked journal publication in the preprint server record,decide whether the claim may be cited as evidence at this tier,Metformin inhibits mitochondrial complex I in intestinal epithelium to promote glycemic control,https://europepmc.org/article/PPR/PPR1095512
doi:10.1101/2025.10.22.683699,preprint_without_peer_review,preprint with no linked journal publication in the preprint server record,decide whether the claim may be cited as evidence at this tier,Exercise intensity modulates the human plasma secretome and interorgan communication,https://europepmc.org/article/PPR/PPR1106168
doi:10.21203/rs.3.rs-4865146/v1,preprint_without_peer_review,preprint with no linked journal publication in the preprint server record,decide whether the claim may be cited as evidence at this tier,Rapid detection of N-lactoyl-phenylalanine for exercise evaluation using dual DNA biosensors based on solution-gated graphene field-effect transistor,https://doi.org/10.21203/rs.3.rs-4865146/v1
doi:10.21203/rs.3.rs-6043857/v1,preprint_without_peer_review,preprint with no linked journal publication in the preprint server record,decide whether the claim may be cited as evidence at this tier,Integrated multi-omics analyses reveal causal insights into the molecular landscape of urologic cancers,https://europepmc.org/article/PPR/PPR982825
doi:10.21203/rs.3.rs-9241824/v1,preprint_without_peer_review,preprint with no linked journal publication in the preprint server record,decide whether the claim may be cited as evidence at this tier,Genome-wide identification of the GRAS transcription factor family and regulation of metabolites under drought and salt stress in Isatis indigotica,https://europepmc.org/article/PPR/PPR1176897
doi:10.2139/ssrn.6291466,preprint_without_peer_review,preprint with no linked journal publication in the preprint server record,decide whether the claim may be cited as evidence at this tier,N-Lactoyl-Phenylalanine: An Exercise-Inducible Metabolite that Suppresses Feeding and Obesity - Species Dependence and Compound Characterization,https://doi.org/10.2139/ssrn.6291466
doi:10.1016/j.redox.2024.103295,retraction_flag_in_publication_type,publication type mentions retraction,verify retraction status before any use,Withdrawn: Combinatorial lipidomics and proteomics underscore erythrocyte lipid membrane aberrations in the development of adverse cardio-cerebrovascular complications in maintenance hemodialysis patients,https://europepmc.org/article/MED/39159596
doi:10.1111/srt.13796,retraction_flag_in_publication_type,publication type mentions retraction,verify retraction status before any use,The causal relationship between blood metabolites and rosacea: A Mendelian randomization,https://europepmc.org/article/MED/38895784
source:pubmed,retrieval_source_unavailable,"pubmed could not be reached: literature request returned non-JSON content: https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22N-Lactoyl+phenylalanine%22%5BAll+Fields%5D+OR+%22Lac-Phe%22%5BAll+Fields%5D+OR+%22N-lactoylphenylalanine%22%5BAll+Fields%5D+OR+%22lactoylphenylalanine%22%5BAll+Fields%5D+OR+%22N-lactoyl-phenylalanine%22%5BAll+Fields%5D%29&retmode=json&retmax=400&sort=relevance&tool=metabotyping-agentic-workbench :: <!DOCTYPE html PUBLIC ""-//W3C//DTD XHTML 1.1//EN"" ""http://www.w3.org/TR/xhtml11/DTD/xhtml11.dtd""> <html> <head> <title>NCBI - WWW Error Blocked Diagnostic</title> <meta http-equiv=""Content-Type"" cont",re-run the lane from a permitted network egress before treating the sweep as complete,,
source:crossref,retrieval_truncated,crossref did not return a declared-complete result set: 160 retrieved of 47194 reported hits,raise the retrieval cap or narrow the query before claiming a complete sweep,,
doi:10.1002/acn3.627,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,"Seizures, periodic and rhythmic patterns in primary intraventricular hemorrhage",https://europepmc.org/article/MED/30250866
doi:10.1002/advs.202501820,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Cardiovascular Disease Meets Cancer: Exploring the Epidemiology in China and Homotherapy Targeting Intersectional Mechanisms,https://europepmc.org/article/MED/40884288
doi:10.1002/advs.202512020,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Multi-Omics Reveal the Dysregulated Gut-Joint Axis in Knee Synovitis: Data from Two Osteoarthritis Studies in China,https://europepmc.org/article/MED/41354462
doi:10.1002/ansa.202300003,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Mass Sportrometry: An annual look back at applications of mass spectrometry in sport and exercise science,https://europepmc.org/article/MED/38715927
doi:10.1002/bit.27755,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Lactoyl leucine and isoleucine are bioavailable alternatives for canonical amino acids in cell culture media,https://europepmc.org/article/MED/33738790
doi:10.1002/cpt.70205,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Untargeted Metabolomics Identifies N-Lactoyl-Amino Acids as Dose-Responsive Plasma Biomarkers of Metformin Adherence in Type 2 Diabetes,https://europepmc.org/article/MED/41556311
doi:10.1002/dmrr.70060,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,N-Lactoyl Amino Acids: Emerging Biomarkers in Metabolism and Disease,https://europepmc.org/article/MED/40534243
doi:10.1002/hem3.70038,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Antibiotic-associated neutropenia is marked by the depletion of intestinal Lachnospiraceae and associated metabolites in pediatric patients,https://europepmc.org/article/MED/39525856
doi:10.1002/hep4.1699,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Metabolomic Analysis Uncovers Energy Supply Disturbance as an Underlying Mechanism of the Development of Alcohol-Associated Liver Cirrhosis,https://europepmc.org/article/MED/34141983
doi:10.1002/hsr2.70067,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,The effects of acute aerobic exercise on appetite-regulating parameters and energy intake in males with obesity,https://europepmc.org/article/MED/39263536
doi:10.1002/mco2.70718,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Identification of Blood Pressure-Associated Metabolites by Integrating Metabolomic and Genetic Analysis,https://europepmc.org/article/MED/41938174
doi:10.1002/mco2.70820,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Increased Brown Adipose Tissue Thermogenesis in Phenylketonuria,https://europepmc.org/article/MED/42292855
doi:10.1002/oby.24223,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Skeletal muscle growth to combat diabetes and obesity: the potential role of muscle-secreted factors,https://europepmc.org/article/MED/39948829
doi:10.1002/ueg2.70069,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Multi-Omics Analysis of Ileal Mucosa and Mesentery Before and After Ileocecal Resection in Crohn's Disease,https://europepmc.org/article/MED/40536441
doi:10.1007/s00125-024-06282-6,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Role of human plasma metabolites in prediabetes and type 2 diabetes from the IMI-DIRECT study,https://europepmc.org/article/MED/39349772
doi:10.1007/s11306-026-02416-6,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Metabolomic profiling in phenylketonuria: a systematic review of human studies,https://europepmc.org/article/MED/41793569
doi:10.1007/s13167-023-00313-9,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,New insight of metabolomics in ocular diseases in the context of 3P medicine,https://europepmc.org/article/MED/36866159
doi:10.1016/j.ajcnut.2026.101262,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,"Muscle movement and metabolism: exercise and skeletal muscle as mediators of health-a report from the 26th Annual Harvard Nutrition Obesity Symposium, 2025",https://europepmc.org/article/MED/41812769
doi:10.1016/j.arr.2023.102091,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,"Role of diet and exercise in aging, Alzheimer's disease, and other chronic diseases",https://europepmc.org/article/MED/37832608
doi:10.1016/j.bioflm.2024.100201,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,New insights into the antibiofilm activity and mechanism of Mannosylerythritol Lipid-A against Listeria monocytogenes EGD-e,https://europepmc.org/article/MED/38779407
doi:10.1016/j.cell.2025.01.015,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Solute carriers: The gatekeepers of metabolism,https://europepmc.org/article/MED/39983672
doi:10.1016/j.celrep.2022.111894,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,UCP2-dependent redox sensing in POMC neurons regulates feeding,https://europepmc.org/article/MED/36577374
doi:10.1016/j.cmet.2023.04.011,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,"Organism-wide, cell-type-specific secretome mapping of exercise training in mice",https://europepmc.org/article/MED/37141889
doi:10.1016/j.coemr.2024.100525,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Metabolic small talk during exercise: The role of metabokines and lipokines in interorgan signalling,https://europepmc.org/article/MED/39185341
doi:10.1016/j.fochx.2025.102706,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Effect of Lactobacillus plantarum 1243 fermentation on quality properties and metabolome of Aronia melanocarpa (Michx . ) elliott juice,https://europepmc.org/article/MED/40672877
doi:10.1016/j.fochx.2025.102947,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,"Preparation of N-succinyl-L-tryptophan: investigating its sweetness-enhancing effects and mechanisms on sucrose and high-intensity sweeteners through sensory evaluation, electronic tongue, and molecular simulation",https://europepmc.org/article/MED/40917124
doi:10.1016/j.fochx.2025.103161,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Preparation of N-succinyl- L -phenylalanine: exploring its taste-modulating effects and mechanisms on baijiu via multisensory evaluation and molecular simulation,https://europepmc.org/article/MED/41140599
doi:10.1016/j.jare.2023.11.026,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Ten metabolites-based algorithm predicts the future development of type 2 diabetes in Chinese,https://europepmc.org/article/MED/38030128
doi:10.1016/j.jbc.2025.110602,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Class I histone deacetylases catalyze lysine lactylation,https://europepmc.org/article/MED/40835008
doi:10.1016/j.jesf.2023.12.002,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Molecular origin and biological effects of exercise mimetics,https://europepmc.org/article/MED/38187084
doi:10.1016/j.jpha.2025.101532,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Development of a novel NanoBRET high-throughput drug screening assay for human GnRH receptor using sulfo-cyanine 5 fluorophore,https://europepmc.org/article/MED/41798066
doi:10.1016/j.mcpro.2023.100561,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Multi-Omics Profiling for Health,https://europepmc.org/article/MED/37119971
doi:10.1016/j.mcpro.2023.100601,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Plasma Proteomic Kinetics in Response to Acute Exercise,https://europepmc.org/article/MED/37343698
doi:10.1016/j.molmet.2023.101745,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Exercise-induced hypothalamic neuroplasticity: Implications for energy and glucose metabolism,https://europepmc.org/article/MED/37268247
doi:10.1016/j.psj.2026.107043,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Dietary supplementation with Cuscuta chinensis improves ovarian function and production performance in aged laying hens via modulation of steroid hormone biosynthesis and gut microbiota,https://europepmc.org/article/MED/42184744
doi:10.1016/j.redox.2023.102748,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Exerkines and redox homeostasis,https://europepmc.org/article/MED/37247469
doi:10.1016/j.redox.2024.103295,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Withdrawn: Combinatorial lipidomics and proteomics underscore erythrocyte lipid membrane aberrations in the development of adverse cardio-cerebrovascular complications in maintenance hemodialysis patients,https://europepmc.org/article/MED/39159596
doi:10.1016/j.redox.2026.104210,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Vespakinin-M delineates an AMPK/mTOR-arginine-TCA cycle axis to act as an immunometabolic switch in post-stroke microglia,https://europepmc.org/article/MED/42166856
doi:10.1016/j.smhs.2026.03.005,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Molecular vehicles for therapeutic delivery of lactate in exercise and medicine,https://europepmc.org/article/MED/42125180
doi:10.1016/j.tem.2023.09.006,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Hallmarks of the metabolic secretome,https://europepmc.org/article/MED/37845120
doi:10.1016/j.tem.2023.11.001,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Methylmalonic acid in aging and disease,https://europepmc.org/article/MED/38030482
doi:10.1016/j.tem.2025.07.005,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Exercise pills for cardiometabolic health cannot mimic the exercise milieu,https://europepmc.org/article/MED/40784868
doi:10.1021/acs.analchem.3c03620,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,MARS: A Multipurpose Software for Untargeted LC-MS-Based Metabolomics and Exposomics,https://europepmc.org/article/MED/38236168
doi:10.1021/acs.jafc.3c04632,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Inoculation of Newborn Lambs with Ruminal Solids Derived from Adult Goats Reprograms the Development of Gut Microbiota and Serum Metabolome and Favors Growth Performance,https://europepmc.org/article/MED/38189273
doi:10.1038/s41392-024-01841-0,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Molecular insights of exercise therapy in disease prevention and treatment,https://europepmc.org/article/MED/38806473
doi:10.1038/s41419-024-07177-5,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Metformin improves HPRT1-targeted purine metabolism and repairs NR4A1-mediated autophagic flux by modulating FoxO1 nucleocytoplasmic shuttling to treat postmenopausal osteoporosis,https://europepmc.org/article/MED/39500875
doi:10.1038/s41419-026-08791-1,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,The PM20D1-OLE pathway induces microglia rewiring to ameliorate Alzheimer disease,https://europepmc.org/article/MED/42045164
doi:10.1038/s41522-025-00793-9,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Genomic insights and metabolic profiling of gut commensal Luoshenia tenuis at strain level,https://europepmc.org/article/MED/40764512
doi:10.1038/s41580-023-00606-x,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Exercise metabolism and adaptation in skeletal muscle,https://europepmc.org/article/MED/37225892
doi:10.1038/s41586-025-08588-w,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Cooperative nutrient scavenging is an evolutionary advantage in cancer,https://europepmc.org/article/MED/39972131
doi:10.1038/s41589-025-01909-0,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Reactivity-based metabolomics reveal cysteine has glyoxalase 1-like and glyoxalase 2-like activities,https://europepmc.org/article/MED/40437135
doi:10.1038/s41598-024-63282-7,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,"Transgenic female mice producing trans 10, cis 12-conjugated linoleic acid present excessive prostaglandin E2, adrenaline, corticosterone, glucagon, and FGF21",https://europepmc.org/article/MED/38816541
doi:10.1038/s41598-024-71375-6,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Blood based metabolic markers of glioma from pre-diagnosis to surgery,https://europepmc.org/article/MED/39237693
doi:10.1038/s41598-025-02944-6,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,"Profiling protein hydrolysis and amino acid metabolism in camel and bovine milk fermented by Lactobacillus helveticus, L. bulgaricus, and Streptococcus thermophilus",https://europepmc.org/article/MED/40419683
doi:10.1038/s42003-023-05266-3,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Plasma metabolomic profiling in two rabbit lines divergently selected for intramuscular fat content,https://europepmc.org/article/MED/37653068
doi:10.1038/s43856-026-01471-3,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Metformin provides superior neuroprotective potential compared to semaglutide in preventing diabetes-associated Alzheimer's disease via dual actions,https://europepmc.org/article/MED/41760788
doi:10.1042/bsr20220319,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Serum metabolome alterations in patients with early nonalcoholic fatty liver disease,https://europepmc.org/article/MED/36124945
doi:10.1073/pnas.1424638112,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,N-lactoyl-amino acids are ubiquitous metabolites that originate from CNDP2-mediated reverse proteolysis of lactate and amino acids,https://europepmc.org/article/MED/25964343
doi:10.1073/pnas.76.9.4530,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Lactose genes fused to exogenous promoters in one step using a Mu-lac bacteriophage: in vivo probe for transcriptional control sequences,https://europepmc.org/article/MED/159458
doi:10.1073/pnas.78.11.7024,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Alternate pathways of DNA replication: DNA polymerase I-dependent replication,https://europepmc.org/article/MED/7031666
doi:10.1073/pnas.78.8.4936,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Cloning and analysis of strong promoters is made possible by the downstream placement of a RNA termination signal,https://europepmc.org/article/MED/6946440
doi:10.1073/pnas.82.9.3020,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Natural history of restricted synthesis and expression of measles virus genes in subacute sclerosing panencephalitis,https://europepmc.org/article/MED/3857631
doi:10.1074/jbc.m115.692103,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,ATP-binding Cassette Subfamily C Member 5 (ABCC5) Functions as an Efflux Transporter of Glutamate Conjugates and Analogs,https://europepmc.org/article/MED/26515061
doi:10.1080/07435800.2025.2545832,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,"Blood metabolome of cardiovascular disease, diabetic kidney disease, and diabetic retinopathy in type 2 diabetes patients: A systematic review and meta-analysis",https://europepmc.org/article/MED/40835231
doi:10.1080/14737159.2025.2518138,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Primary open-angle glaucoma: a perspective from plasma metabolomics,https://europepmc.org/article/MED/40482041
doi:10.1089/acm.2019.0447,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,A Public Health Issue: Dietary Supplements Promoted for Brain Health and Cognitive Performance,https://europepmc.org/article/MED/32119795
doi:10.1093/emboj/cdf369,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Replication fork collapse at replication terminator sequences,https://europepmc.org/article/MED/12110601
doi:10.1093/genetics/118.4.571,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,A mutation affecting the regulation of a secA-lacZ fusion defines a new sec gene,https://europepmc.org/article/MED/3284784
doi:10.1093/genetics/122.4.737,subject_name_not_located_in_record,"the index matched this record on full text, but the queried name does not appear in the retrieved title or abstract",check the full text before treating this record as subject evidence,Recombination between homologies in direct and inverse orientation in the chromosome of Salmonella: intervals which are nonpermissive for inversion formation,https://europepmc.org/article/MED/2547692
