query_refmet_name,match_basis,review_status,decision_scope,harmonization_eligibility,study_id,analysis_id,study_title,species,sample_source,analysis_type,polarity,chromatography,disease,refmet_name,refmet_id,inchi_key,pubchem_cid,super_class,main_class,sub_class,study_link,source_system,provenance_url
N-Lactoyl leucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST005010,AN008509,Gut microbiota and metabolites are linked to disease progression in multiple sclerosis - Feces,Human,Feces,Other,NEGATIVE,Reversed phase,Multiple sclerosis,N-Lactoyl leucine,,BUMIGZVUJKNXCO-BQBZGAKWSA-N,57329455,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST005010,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20leucine
N-Lactoyl leucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST005011,AN008513,Gut microbiota and metabolites are linked to disease progression in multiple sclerosis - Serum,Human,Blood,Other,NEGATIVE,Reversed phase,Multiple sclerosis,N-Lactoyl leucine,,BUMIGZVUJKNXCO-BQBZGAKWSA-N,57329455,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST005011,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20leucine
N-Lactoyl leucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004696,AN007934,Whey protein isolate enhances the growth and probiotic features of Lacticaseibacillus rhamnosus GG,Lacticaseibacillus rhamnosus,Culture media,LCMS,NEGATIVE,Reversed phase,,N-Lactoyl leucine,,BUMIGZVUJKNXCO-BQBZGAKWSA-N,57329455,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004696,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20leucine
N-Lactoyl leucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003126,AN005125,Effect of high fat diet on heart metabolome of CHCHD10 mutant mice,Mouse,Heart,LCMS,UNSPECIFIED,HILIC,Cardiomyopathy,N-Lactoyl leucine,,BUMIGZVUJKNXCO-BQBZGAKWSA-N,57329455,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003126,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20leucine
N-Lactoyl leucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003277,AN005367,LC-MS/MS spatial analysis of mouse GI,Mouse,Blood,LCMS,NEGATIVE,Reversed phase,,N-Lactoyl leucine,,BUMIGZVUJKNXCO-BQBZGAKWSA-N,57329455,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003277,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20leucine
N-Lactoyl leucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003378,AN005530,Effects of Aldehydes on lipid metabolism in mice,Mouse,Liver,LCMS,POSITIVE,Reversed phase,Liver disease,N-Lactoyl leucine,,BUMIGZVUJKNXCO-BQBZGAKWSA-N,57329455,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003378,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20leucine
N-Lactoyl leucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003378,AN005531,Effects of Aldehydes on lipid metabolism in mice,Mouse,Liver,LCMS,NEGATIVE,Reversed phase,Liver disease,N-Lactoyl leucine,,BUMIGZVUJKNXCO-BQBZGAKWSA-N,57329455,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003378,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20leucine
N-Lactoyl leucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003378,AN005532,Effects of Aldehydes on lipid metabolism in mice,Mouse,Liver,LCMS,POSITIVE,Reversed phase,Liver disease,N-Lactoyl leucine,,BUMIGZVUJKNXCO-BQBZGAKWSA-N,57329455,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003378,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20leucine
N-Lactoyl leucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003790,AN006230,Fecal metabolomics of B16-OVA tumor-bearing mice fed chow or low and high fiber purified diets and treated with isotype control or anti-PD-1 antibody,Mouse,Feces,LCMS,NEGATIVE,HILIC,Cancer,N-Lactoyl leucine,,BUMIGZVUJKNXCO-BQBZGAKWSA-N,57329455,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003790,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20leucine
N-Lactoyl leucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003817,AN006275,Irisin promotes bone tissue repair and intestinal protection in osteoporotic mice,Mouse,Feces,LCMS,POSITIVE,Reversed phase,Osteoporosis,N-Lactoyl leucine,,BUMIGZVUJKNXCO-BQBZGAKWSA-N,57329455,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003817,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20leucine
N-Lactoyl leucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003817,AN006276,Irisin promotes bone tissue repair and intestinal protection in osteoporotic mice,Mouse,Feces,LCMS,NEGATIVE,Reversed phase,Osteoporosis,N-Lactoyl leucine,,BUMIGZVUJKNXCO-BQBZGAKWSA-N,57329455,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003817,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20leucine
N-Lactoyl leucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003818,AN006278,Irisin Attenuates Postmenopausal Osteoporosis by Upregulating Phosphatidylcholine Metabolism via the Wnt/β-catenin Pathway,Mouse,Blood,LCMS,NEGATIVE,Reversed phase,Osteoporosis,N-Lactoyl leucine,,BUMIGZVUJKNXCO-BQBZGAKWSA-N,57329455,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003818,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20leucine
N-Lactoyl leucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004317,AN007190,Human gut microbiota from fast-progressing ALS patients accelerates disease in mice and reprograms cecal metabolite profiles,Mouse,Cecum,LCMS,NEGATIVE,Reversed phase,ALS,N-Lactoyl leucine,,BUMIGZVUJKNXCO-BQBZGAKWSA-N,57329455,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004317,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20leucine
N-Lactoyl leucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004327,AN007211,Microbiota Regulation of Hepatic Nanoparticle Sequestration Enables Enhanced Tumour Delivery,Mouse,Liver,LCMS,UNSPECIFIED,HILIC,Cancer,N-Lactoyl leucine,,BUMIGZVUJKNXCO-BQBZGAKWSA-N,57329455,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004327,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20leucine
N-Lactoyl leucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004357,AN007276,Metabolic Impact of Cardiomyocyte-Specific Nuclear Receptor Subfamily 4 Group A Member 2 (NR4A2) Induction on the Mouse Heart,Mouse,Heart,LCMS,NEGATIVE,Reversed phase,,N-Lactoyl leucine,,BUMIGZVUJKNXCO-BQBZGAKWSA-N,57329455,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004357,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20leucine
N-Lactoyl leucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004742,AN008021,Metabolic Profiling of Multiple PCCA-Deficient Mouse Models,Mouse,Liver,LCMS,NEGATIVE,Reversed phase,,N-Lactoyl leucine,,BUMIGZVUJKNXCO-BQBZGAKWSA-N,57329455,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004742,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20leucine
N-Lactoyl leucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004782,AN008086,Aging Drives Region-Specific Metabolic Changes in Gut Muscularis Macrophages,Mouse,Muscular macrophages,LCMS,POSITIVE,Reversed phase,,N-Lactoyl leucine,,BUMIGZVUJKNXCO-BQBZGAKWSA-N,57329455,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004782,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20leucine
N-Lactoyl leucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004994,AN008477,"Plasma data of project ""Organ-Specific Transcriptional and Metabolic Remodelling During Late Mouse Adolescence""",Mouse,Blood,Other,NEGATIVE,Reversed phase,Metabolic disease,N-Lactoyl leucine,,BUMIGZVUJKNXCO-BQBZGAKWSA-N,57329455,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004994,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20leucine
N-Lactoyl leucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003673,AN006033,Identification of plasma metabolites responding to oxycodone exposure in rats,Rat,Blood,Other,NEGATIVE,Reversed phase,Addiction,N-Lactoyl leucine,,BUMIGZVUJKNXCO-BQBZGAKWSA-N,57329455,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003673,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20leucine
N-Lactoyl leucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004153,AN006895,Multi-omics Study of Small Intestine Adaptation After Total Colectomy in a Rat model,Rat,Feces,LCMS,NEGATIVE,Reversed phase,,N-Lactoyl leucine,,BUMIGZVUJKNXCO-BQBZGAKWSA-N,57329455,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004153,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20leucine
N-Lactoyl leucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004783,AN008088,Preprandial metabolite profiles shape divergent rumen microbial dynamics and plant degradation between meal cycles in grazing sheep,Sheep,Rumen fluid,LCMS,NEGATIVE,Reversed phase,,N-Lactoyl leucine,,BUMIGZVUJKNXCO-BQBZGAKWSA-N,57329455,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004783,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20leucine
